origin,destination,weekday,start_hour,end_hour,trip_duration,date
4,5,Mon,17,17,25.09,17/3/20
5,5,Fri,13,14,10.03,20/3/20
4,4,Fri,10,11,5.02,20/3/20
7,7,Tue,7,8,45.15,25/3/20
3,4,Sun,20,21,20.07,23/3/20
7,7,Wed,8,8,30.11,26/3/20
3,3,Wed,11,14,165.58,12/3/20
4,4,Fri,11,12,70.25,20/3/20
7,7,Thu,1,1,10.04,27/3/20
2,2,Wed,3,3,5.02,12/3/20
3,3,Sun,11,11,40.12,30/3/20
5,5,Tue,20,21,60.22,25/3/20
3,3,Thu,18,19,30.11,20/3/20
3,3,Fri,15,15,20.07,20/3/20
1,0,Wed,6,17,647.18,26/3/20
3,4,Wed,15,15,30.1,26/3/20
7,2,Sat,7,8,45.2,8/3/20
0,3,Sat,10,12,65.22,29/3/20
1,7,Mon,12,12,25.09,24/3/20
7,3,Mon,13,13,40.17,24/3/20
2,3,Sun,9,9,20.08,9/3/20
3,7,Sun,13,13,30.12,9/3/20
3,0,Mon,14,4,808.18,24/3/20
3,7,Mon,11,22,632.12,31/3/20
3,7,Fri,16,17,55.18,20/3/20
7,3,Thu,7,7,35.13,27/3/20
7,3,Tue,18,19,30.1,1/4/20
4,4,Fri,8,8,35.13,20/3/20
4,4,Fri,18,19,40.16,20/3/20
4,4,Fri,21,22,20.08,20/3/20
5,5,Sat,10,11,25.09,22/3/20
4,4,Fri,20,20,10.03,20/3/20
5,3,Sat,11,11,15.06,22/3/20
0,4,Sat,8,9,35.14,22/3/20
7,4,Mon,13,13,50.2,24/3/20
1,7,Mon,12,12,30.1,24/3/20
4,4,Fri,17,18,30.12,20/3/20
1,1,Sat,6,19,782.88,22/3/20
4,4,Sat,7,7,30.12,29/3/20
3,1,Sat,13,13,15.05,29/3/20
3,3,Sat,17,17,25.06,29/3/20
4,4,Fri,21,21,20.08,20/3/20
3,1,Sat,10,10,10.03,29/3/20
5,1,Thu,12,10,1335.12,20/3/20
6,6,Tue,20,21,15.06,18/3/20
3,3,Mon,21,21,20.08,24/3/20
4,3,Tue,14,15,30.1,25/3/20
5,1,Sun,22,23,35.15,16/3/20
1,3,Sat,13,13,15.05,29/3/20
3,3,Wed,14,22,441.63,26/3/20
0,4,Sat,18,18,10.04,8/3/20
4,4,Sun,20,20,15.05,16/3/20
3,3,Mon,7,7,35.12,24/3/20
1,3,Tue,8,9,30.1,18/3/20
1,5,Sat,15,15,20.07,29/3/20
6,6,Thu,8,9,30.12,20/3/20
4,4,Wed,10,10,25.09,26/3/20
0,0,Sat,11,12,15.05,15/3/20
3,3,Thu,16,17,90.29,27/3/20
3,3,Thu,13,14,30.1,20/3/20
4,4,Fri,6,6,10.04,20/3/20
3,3,Fri,10,11,10.04,20/3/20
3,7,Tue,13,13,15.05,1/4/20
3,6,Fri,11,12,40.14,20/3/20
4,2,Tue,16,17,30.14,18/3/20
4,1,Sat,15,16,65.27,8/3/20
1,1,Tue,17,18,50.18,25/3/20
1,3,Sat,18,18,30.13,8/3/20
0,3,Sat,16,16,25.08,15/3/20
3,7,Tue,20,21,45.15,1/4/20
7,3,Tue,3,4,25.09,1/4/20
7,5,Sun,15,16,60.2,30/3/20
2,5,Tue,7,8,60.21,18/3/20
1,7,Sun,12,13,55.19,30/3/20
0,1,Wed,14,15,50.17,12/3/20
1,0,Wed,6,7,35.14,12/3/20
5,5,Fri,18,19,45.15,20/3/20
1,5,Wed,15,15,15.05,19/3/20
3,3,Fri,11,11,10.03,20/3/20
3,3,Tue,17,17,20.07,1/4/20
3,3,Tue,18,18,15.05,1/4/20
